"S2 Table. Data for each functional group used to develop all scores, the scores themselves, and the OA survival response curve with slope error.",,,,,,,,,,,,,,,,,,
Functional group,Respone number,rScore no effect,rScore decrease,rScore increase,rScore complex,PrScore no effect,PrScore decrease,PrScore increase,Directional score,Evidence score,Agreement score,Normalized agreement score,Confidence score,Raw survival scalar,Relative survival scalar,OA survival response curve slope,OA survival response curve lower bound slope,OA survival response curve upper bound slope
Mesozooplankton,55,12.69,25.59,0.00,0.00,0.33,0.67,0.00,-0.67,38.28,0.78,0.56,2.03,-1.36,-0.99,0.99,0.73,1.25
Microphytobenthos,3,0.00,0.70,1.34,0.00,0.00,0.34,0.66,0.31,2.04,0.55,0.10,0.07,0.02,0.02,-0.02,-0.51,0.48
Microzooplankton,90,26.44,12.09,18.43,3.38,0.46,0.21,0.32,0.11,56.97,0.61,0.23,0.92,0.10,0.07,-0.07,-0.46,0.32
Nearshore sea urchins,75,19.66,29.10,10.31,1.53,0.33,0.49,0.17,-0.32,59.06,0.61,0.21,0.86,-0.27,-0.20,0.20,-0.20,0.60
Pandalid shrimp,16,8.53,3.19,0.84,0.00,0.68,0.25,0.07,-0.19,12.56,0.75,0.50,1.26,-0.23,-0.17,0.17,-0.18,0.52
Pelagic bacteria,15,6.24,1.69,0.00,0.58,0.79,0.21,0.00,-0.21,7.93,0.83,0.66,1.38,-0.29,-0.21,0.21,-0.12,0.55
Pteropods,54,11.34,22.56,0.78,0.70,0.33,0.65,0.02,-0.63,34.68,0.75,0.50,1.78,-1.12,-0.81,0.81,0.53,1.10
Sea stars moonsnail whelk,80,22.28,20.04,6.86,1.97,0.45,0.41,0.14,-0.27,49.18,0.64,0.28,1.08,-0.29,-0.21,0.21,-0.16,0.58
Seagrass,42,10.02,3.81,12.27,1.18,0.38,0.15,0.47,0.32,26.10,0.63,0.25,0.82,0.27,0.19,-0.19,-0.60,0.21
Shallow benthic filter feeders,153,41.17,49.05,6.54,1.32,0.43,0.51,0.07,-0.44,96.75,0.69,0.37,1.71,-0.75,-0.55,0.55,0.25,0.84
Small demersal sharks,31,11.10,3.25,0.00,2.30,0.77,0.23,0.00,-0.23,14.35,0.82,0.65,1.73,-0.39,-0.29,0.29,-0.01,0.58
Small phytoplankton,79,15.58,11.66,19.47,2.41,0.33,0.25,0.42,0.17,46.71,0.57,0.14,0.54,0.09,0.07,-0.07,-0.50,0.37
Soft corals,17,4.61,3.98,0.58,0.00,0.50,0.43,0.06,-0.37,9.17,0.69,0.39,0.86,-0.32,-0.23,0.23,-0.16,0.63
Spiny dogfish,5,0.83,1.24,0.00,0.00,0.40,0.60,0.00,-0.60,2.06,0.76,0.52,0.38,-0.23,-0.16,0.16,-0.29,0.62
Stony corals,87,39.31,13.36,4.06,0.80,0.69,0.24,0.07,-0.16,56.74,0.75,0.51,2.05,-0.34,-0.24,0.24,-0.01,0.50
,,,,,,,,,,,,,,,,,,
* Excludes the complex category,,,,,,,,,,,,,,,,,,
